Topic # 00,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09,Topic # 10,Topic # 11,Topic # 12,Topic # 13,Topic # 14,Topic # 15,Topic # 16,Topic # 17,Topic # 18,Topic # 19,Topic # 20,Topic # 21,Topic # 22,Topic # 23,Topic # 24,Topic # 25,Topic # 26,Topic # 27,Topic # 28,Topic # 29,Topic # 30,Topic # 31,Topic # 32,Topic # 33,Topic # 34
field,msgw,report,queue,xml,transaction,modify,user,code,box,screen,utility,form,account,issue,date,message,sell,description,file,value,gic,slip,extract,change,job,type,term,technical,fee,blank,investor,trade,password,qc
date field,jobdaily,miss,folder,tag,post,mode,login,investment,accfmdt2,deramd,update,tax,account number,alignment,future,warn,multiple,frq,spool file,junk value,fund,amend,tax extract,utility change,run,payment,term code,add,base,field blank,registration,percentage,reset,work
field value,jobtaxefil,standard,hold,xml file,post transaction,modify mode,179500,investment code,accfmdt2 screen,primary,utility update,tax form,account type,alignment issue,future date,warn message,multiple sell,excel report,spool,value report,order,tax slip,position,capture,adhoc job,payment type,code,trnmrede,rate,blank value,step,trade percentage,reset password,tab
type field,jobdaily msgw,report report,hold queue,t5008,transaction post,transaction modify,page,form code,description,accfmdt2 screen,table,r3,number,multiple issue,date field,message user,sell screen,excel,schema,junk,redemption,cancel,delivery,audit,adhoc,account type,maturity,environment,fee rate,link,investor registration,trade date,179500,processor
field blank,utility msgw,snapshot,decision,r18 xml,approve,modify transaction,sso,fund code,box value,deramd screen,utility change,form code,nominee,multiple,follow,french,direct,header,section,value capture,gic fund,tax,delivery option,add,submit,information,gic,accfmlst,fund,id,registration step,calculate,allow,qc processor
tab,jobt3r16,standard snapshot,basket,t5008 xml,sell transaction,user modify,dccm,structure,zero,navigate,description,r3 tax,setup,length,maturity,page,direct sell,column,ns,blank value,redemption order,original,option,change category,job msgw,type field,auto,acitfrm,fund base,leave,number,sum,user reset,qc tab
space,jobtaxefil msgw,snapshot report,nigo,r18,user post,annuitant,id,structure code,box 16,accfmdt2,utility msgw,t3,account setup,slip issue,date time,179500 message,sell transaction,mismatch,ns file,box value,current redemption,r18,tax,category,job taxfextr,lookup,gicpit,multiple,request,flag,automatic investor,greater,user allow,qc work
accept,status,graphical,action,populate,switch,additional,179500 user,exist,16,add,run,r16,bank,r26list,maturity date,add,screen,frq actual,xml file,field value,current,slip issue,frequency,log,taxfextr,trnmrede,gicpit screen,acigdtl,nfu,exist,automatic,100,179500 user,epic6
numeric,environment,data,process,r16,number,instruction,login page,edit,box box,delete,screen update,t5,nominee account,issue investor,time,duplicate,post multiple,description mismatch,ts,negative,awd,accfmdtl,header,crs,taxefil,transaction type,structure code,annuitant,base request,incorporate,identity,equal,user,work queue
account type,pre,graphical report,future date,r16 xml,reverse,multi sell,url,edit code,r3listrp,screen update,run utility,cancel,dealer,status,action date,otp,panel,header column,input,value populate,seg,spousal,beneficiary,change update,statement,post,structure,transactions,reject,rep,step identity,post,allow user,qc supervisor
